Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
El Salvador,SLV,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348000,492000,627000,868000,787000,923000,933000,1001000,940000,1079000,1239000,1242000,1012000,,1345000,1421000,1469000,1462000,1515000,1515000,1618000,1804000,1871000,1788000,1899000,515000,
San Marino,SMR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (excluding high income),SSA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,SSD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small states,SST,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600.000381,10300.00019,,,,,,,,,,,,,
Suriname,SUR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2987000,3149000,3603000,3683000,3230000,2692000,3285000,2689000,2129000,2406000,2777000,3095000,3870000,4662000,5214000,,
Slovenia,SVN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6736000,6814000,5569000,5490000,5575000,5340000,5073000,4465000,4440000,4672000,4909000,5408000,5410000,5409000,6049000,1892000,
Sweden,SWE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22121000,19939000,19061000,6081000,
Eswatini,SWZ,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082000,1072000,1130000,1177000,1245000,1141000,1264000,1403000,1573000,1657000,1713000,1789000,1751000,1717000,1721000,488000,
Sint Maarten (Dutch part),SXM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000,29000,30000,31000,32000,36000,41000,53000,50000,48000,52000,55000,58000,54000,49000,59000,48000,45000,47000,50000,56000,68000,74000,72000,76000,19000,
Syrian Arab Republic,SYR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746000,1871000,2299000,2411000,2994000,3863000,3492000,3299000,3997000,4309000,4564000,4042000,4196000,5253000,5215000,6259000,,,,,,,,,,,
Turks and Caicos Islands,TCA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58000,66000,39000,76000,79000,,,,56000,52000,,,5500,
East Asia & Pacific (IDA & IBRD countries),TEA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18266208.57,20667597.47,22403418.59,23806450.7,24718026.03,28433416.03,33192114.13,32773176.55,36379886.77,41526785.58,45087027.35,51153567.78,59704120.37,65407741.29,67057893.79,80833199.94,96258329.79,112438994.7,131359279.2,153425771.7,168142535.8,178896138,189774542,199745794.7,207926772.2,,
Europe & Central Asia (IDA & IBRD countries),TEC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103902240.6,105590705.7,115387853.3,126523625.6,120107914.5,116180036,111527590.9,118880525.4,131897897.9,142195981.6,154147831.7,161440288.6,147862320.9,159956286.4,173796366.8,187912955,207108018.7,178269883,180141229.3,181773707,204344687.1,218948144.6,230131574.3,,
Togo,TGO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191000,216000,236000,269000,,
Thailand,THA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820000,1845000,1660000,1412000,1655000,1909000,2011000,2250000,2152000,2709000,3047000,3382000,4018000,3908000,4653000,5451000,5397000,5721000,5970000,6444000,6794000,8204000,8963000,9966000,10446000,,
Tajikistan,TJK,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.999905,6400.000095,2700.000048,,,,,,,,,,,15000,15000,19000,16000,22000,31000,31000,,,
Turkmenistan,TKM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,29000,31000,357000,,78000,111000,79000,34000,32000,33000,33000,38000,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121070365.9,122936270,127736934.3,129518304.9,138591069.9,150447226.4,146275813.7,147227984,146648261.2,154187895.5,155775205.4,150244605.8,139215149.1,138747910.1,128358406.5,124763533.8,126189114.5,128321824.5,135844979.6,137786239.7,146490002.1,154854095.3,156386723.3,145817951.5,139218767.5,,
Timor-Leste,TLS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia (IDA & IBRD),TSA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5104212.178,5666330.193,5968835.47,6185555.668,6639313.584,7071625.23,7207075.355,7801927.15,8610112.89,9938652.858,11433119.23,12873405.55,15286675.26,15117362.6,16943521.78,19125115.55,20658496.87,22014160.89,23161348.84,25431129.95,28138552.83,30194692.25,32864565.98,35959133.49,36715295.6,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261000,248000,,,,,,,,,,,,,270000,273000,,,,,,,,,,,
Tunisia,TUN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778000,1428000,1381000,1526000,1480000,1632000,1669000,1939000,2274000,2312000,2241000,2302000,2743000,3118000,2623000,2250000,2303000,2897000,2873000,2637000,,1830000,,2515000,2781000,739000,
Turkiye,TUR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3981000,4261000,4633000,4601000,4758000,5284000,4856000,5131000,5928000,7299000,8246000,8275000,4956000,4893000,5561000,6557000,6282000,5803000,7526000,7982000,8751000,7892000,8887000,8383000,9651000,2243000,
Tuvalu,TUV,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899.999976,2200.000048,2900.000095,2799.999952,2700.000048,2599.999905,2299.999952,2200.000048,2000,2400.000095,,,,2099.999905,,,,,,,,,,
Tanzania,TZA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157000,148000,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,UGA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148000,241000,327000,153000,152000,184000,189000,231000,189000,254000,272000,337000,311000,324000,367000,469000,471000,511000,523000,568000,,,,,
Ukraine,UKR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17866000,16100000,15961000,17741000,20335000,21755000,23988000,22637000,23336000,25226000,27067000,27977000,29346000,11251000,
Upper middle income,UMC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173324641.8,168856922,176481949.8,180365853.1,191743121.3,214986549.5,217718328.5,221251780.1,228983477.6,250002201.9,260450506,263308137.5,265937982.2,276363701.2,266022166.8,280739180.6,301908358.9,324451951.4,359284803.4,373138094.9,385909895,404756512.8,433512501.2,435778612.8,444865191.8,,
Uruguay,URY,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562000,654000,778000,667000,531000,530000,495000,569000,658000,666000,635000,734000,826000,1027000,1534000,1816000,2281000,2396000,2217000,1715000,1789000,1947000,2199000,,
United States,USA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74031000,76803000,78481000,82758000,84540000,87973000,84755000,80883000,75880000,79655000,79215000,148511000,140364000,136148000,129954000,121574000,114089000,116329000,118968000,121699000,130364000,141526000,148045000,158445406.3,170930093.8,60549898.44,
Uzbekistan,UZB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246000,247000,202000,217000,183000,264000,400000,455000,572000,893000,1248000,1150000,1317000,1610000,,,3117000,2786000,3491000,3848000,5182000,8594000,8437000,,
St. Vincent and the Grenadines,VCT,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534000,511000,460000,752000,754000,954000,933000,881000,832000,816000,1067000,1095000,1410000,1745000,1651000,1477000,1719000,1734000,1931000,1589000,1539000,1530000,1079000,,,,
British Virgin Islands,VGB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171000,166000,166000,140000,151000,145000,139000,,,,,,,,,
Virgin Islands (U.S.),VIR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,11000,11000,12000,12000,12000,11000,11000,12000,13000,14000,15000,16000,19000,20000,21000,22000,23000,26000,26000,27000,20299.99924,26299.99924,28399.99962,36400.00153,9399.999619,
World,WLD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930066023.1,982125955.1,1043185311,1122419167,1121398704,1127808612,1130457014,1201164309,1254803572,1383150802,1425571396,1453143997,1397423334,1457015080,1504559276,1564352745,1641229336,1651310269,1744980358,1820356515,1934268135,1991161437,2034431899,,
Samoa,WSM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58000,61000,56000,53000,51000,54000,52000,51000,52000,53000,43000,56000,57000,56000,51000,57000,54000,,55000,64000,69000,18500,
Kosovo,XKX,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,ZMB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,ZWE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256000,69000,123000,213000,331000,,,,386000,498000,474000,541000,547000,593000,631000,650000,693000,720000,2946000,3182000,3393000,3192000,2768000,2288000,3275000,,
