"","county","FIPS","state","bachelor_degree","per_capita_income"
"2308","Refugio, TX",48391,"TX",11.07,54475
"2309","Reno, KS",20155,"KS",19.96,47918
"2310","Rensselaer, NY",36083,"NY",33.9,58126
"2311","Renville, MN",27129,"MN",15.05,61406
"2312","Renville, ND",38075,"ND",22.57,78282
"2313","Republic, KS",20157,"KS",28.19,49342
"2314","Reynolds, MO",29179,"MO",15.44,43066
"2315","Rhea, TN",47143,"TN",16.61,42174
"2316","Rice, KS",20159,"KS",21.77,47894
"2317","Rice, MN",27131,"MN",28.5,51545
"2318","Rich, UT",49033,"UT",22.05,43280
"2319","Richardson, NE",31147,"NE",18.78,60001
"2320","Richland, IL",17159,"IL",20.96,49491
"2321","Richland, MT",30083,"MT",18.51,61645
"2322","Richland, ND",38077,"ND",22.22,59919
"2323","Richland, OH",39139,"OH",17.78,46366
"2324","Richland, SC",45079,"SC",39.14,52980
"2325","Richland, WI",55103,"WI",19.73,50749
"2326","Richmond, GA",13245,"GA",22.49,43429
"2327","Richmond, NC",37153,"NC",17.8,44562
"2328","Richmond, NY",36085,"NY",34.7,65113
"2329","Richmond, VA",51159,"VA",18.06,44749
"2330","Riley, KS",20161,"KS",47.22,47764
"2331","Ringgold, IA",19159,"IA",19.61,57317
"2332","Rio Arriba, NM",35039,"NM",18.46,42467
"2333","Rio Blanco, CO",8103,"CO",24.79,54745
"2334","Rio Grande, CO",8105,"CO",25.95,57350
"2335","Ripley, IN",18137,"IN",19.59,49158
"2336","Ripley, MO",29181,"MO",10.8,45666
"2337","Ritchie, WV",54085,"WV",11.83,52040
"2338","Riverside, CA",6065,"CA",23.25,51180
"2339","Roane, TN",47145,"TN",19.09,49972
"2340","Roane, WV",54087,"WV",12.98,39963
"2341","Roberts, SD",46109,"SD",16.54,50205
"2342","Roberts, TX",48393,"TX",23.94,56868
"2343","Robertson, KY",21201,"KY",13.82,41155
"2344","Robertson, TN",47147,"TN",20.4,51097
"2345","Robertson, TX",48395,"TX",18.42,52894
"2346","Robeson, NC",37155,"NC",14.04,41780
"2347","Rock Island, IL",17161,"IL",23.8,51429
"2348","Rock, MN",27133,"MN",23.8,57744
"2349","Rock, NE",31149,"NE",29.68,80527
"2350","Rock, WI",55105,"WI",23.52,52787
"2351","Rockcastle, KY",21203,"KY",12.87,41290
"2352","Rockdale, GA",13247,"GA",27.21,43042
"2353","Rockingham, NC",37157,"NC",15.22,45049
"2354","Rockingham, NH",33015,"NH",41.86,88303
"2355","Rockland, NY",36087,"NY",41.87,69173
"2356","Rockwall, TX",48397,"TX",42.85,70833
"2357","Roger Mills, OK",40129,"OK",17.87,50590
"2358","Rogers, OK",40131,"OK",24.34,52142
"2359","Rolette, ND",38079,"ND",18.97,52939
"2360","Rooks, KS",20163,"KS",24.28,49795
"2361","Roosevelt, MT",30085,"MT",18.7,43207
"2362","Roosevelt, NM",35041,"NM",21.87,45456
"2363","Roscommon, MI",26143,"MI",16.26,44518
"2364","Roseau, MN",27135,"MN",19.03,60337
"2365","Rosebud, MT",30087,"MT",17.82,53461
"2366","Ross, OH",39141,"OH",16.16,45596
"2367","Routt, CO",8107,"CO",49.33,98371
"2368","Rowan, KY",21205,"KY",25.84,37769
"2369","Rowan, NC",37159,"NC",19.84,46763
"2370","Runnels, TX",48399,"TX",16.61,51307
"2371","Rush, IN",18139,"IN",15.22,54210
"2372","Rush, KS",20165,"KS",21.9,62819
"2373","Rusk, TX",48401,"TX",15.95,44874
"2374","Rusk, WI",55107,"WI",16.92,51844
"2375","Russell, AL",1113,"AL",17.49,39378
"2376","Russell, KS",20167,"KS",23.57,53679
"2377","Russell, KY",21207,"KY",15.47,45383
"2378","Russell, VA",51167,"VA",10.22,40061
"2379","Rutherford, NC",37161,"NC",19.2,42376
"2380","Rutherford, TN",47149,"TN",32.57,49411
"2381","Rutland, VT",50021,"VT",32.19,57831
"2382","Sabine, TX",48403,"TX",17.35,44900
"2383","Sac, IA",19161,"IA",17.85,65620
"2384","Sacramento, CA",6067,"CA",31.45,61829
"2385","Sagadahoc, ME",23023,"ME",37.37,59843
"2386","Saginaw, MI",26145,"MI",22.07,49274
"2387","Saguache, CO",8109,"CO",22.43,43959
"2388","Salem, NJ",34033,"NJ",21.68,57547
"2389","Saline, AR",5125,"AR",27.63,49031
"2390","Saline, IL",17165,"IL",19.94,47402
"2391","Saline, KS",20169,"KS",27.22,56258
"2392","Saline, MO",29195,"MO",22.55,44067
"2393","Saline, NE",31151,"NE",19.18,51623
